date,company,city,headline,summary,source_url,image_url,category
2026-03-24,Zoox,,Zoox expands testing to Phoenix Dallas Austin and Miami with purpose-built robotaxis,"Purpose-built robotaxis begin testing in four new cities; SF area quadrupled; LV doubled; paid rides pending NHTSA approval",https://www.cnbc.com/2026/03/24/amazon-zoox-robotaxi-rides-austin-miami.html,,expansion
2026-03-26,Pony.ai,,Pony.ai reports first quarterly profit with 160% robotaxi revenue growth,"First-ever profit of $75.5M in Q4 2025; fleet at 1446 vehicles; targeting 3000 robotaxis in 20+ cities by year-end",https://www.globenewswire.com/news-release/2026/03/26/3262790/0/en/PONY-AI-Inc-Scales-with-160-Robotaxi-Revenues-Growth-YoY-and-500-Fare-Charging-Revenues-Surge-YoY-in-Q4-Targeting-Deployment-in-20-Cities-by-Year-End.html,,earnings
2026-03-27,Waymo,,Waymo hits 500000 weekly paid rides milestone across 10 US cities,"Tenfold increase from 50K in May 2024; 3067 vehicles; 4M+ autonomous miles weekly; targeting 1M rides/week by year-end",https://eletric-vehicles.com/waymo/waymo-hits-500000-weekly-rides-and-over-4-million-miles-co-ceo-says/,,milestone
2026-03-31,WeRide,Dubai,WeRide and Uber launch fully driverless robotaxi fare-charging operations in Dubai,"First fully driverless commercial robotaxi in Middle East; over 200 vehicles deployed across UAE; Tawasul fleet operator",https://investor.uber.com/news-events/news/press-release-details/2026/WeRide-and-Uber-Launch-Fully-Driverless-Robotaxi-Fare-Charging-Operations-in-Dubai-Accelerating-Autonomous-Mobility-in-the-Middle-East-2026-NSiF0EFKhd/default.aspx,,launch
2026-03-31,Waymo,San Antonio,Waymo starts robotaxi services at San Antonio International Airport,"Fourth airport service added with curbside drop-offs and ride-share pickups",https://techcrunch.com/2026/03/31/waymo-starts-robotaxi-services-at-san-antonio-international-airport/,,expansion
2026-04-01,Apollo Go,Dubai,Apollo Go launches fully driverless commercial ride-hailing in Dubai,"First international Apollo Go app deployment; Dubai Taxi Company partner; 50 vehicles scaling to 1000+; Bolt integration planned",https://www.stocktitan.net/news/BIDU/baidu-s-apollo-go-commences-fully-driverless-commercial-ride-hailing-vb4gpal6kftb.html,,launch
2026-04-01,WeRide,Singapore,WeRide and Grab launch Singapore's first autonomous public ride service in Punggol,"Ai.R autonomous ride service with 11 vehicles; Southeast Asia's first autonomous public ride service",https://www.grab.com/sg/press/others/grab-in-partnership-with-weride-officially-launch-singapores-first-autonomous-public-ride-service-in-punggol/,,launch
2026-04-07,Waymo,Nashville,Waymo launches 11th US city Nashville with Lyft fleet partnership,"60 sq mi initial area covering Broadway and downtown; Flexdrive handles fleet management; Lyft app integration coming later",https://techcrunch.com/2026/04/07/waymo-opens-robotaxi-service-in-nashville-partners-with-lyft/,,launch
2026-04-08,Pony.ai,Zagreb,Pony.ai launches Europe's first commercial robotaxi service in Zagreb with Verne,"BAIC Arcfox Alpha T5 vehicles with 7th-gen system; ~90 km² area; 7am-9pm daily via Verne app; Uber integration planned",https://www.prnewswire.com/news-releases/ponyai-advances-global-deployment-with-launch-of-europes-first-commercial-robotaxi-service-in-zagreb-302736854.html,,launch
2026-04-08,VW ADMT,Los Angeles,VW MOIA America begins autonomous ID. Buzz testing in Los Angeles ahead of Uber launch,"~10 vehicles scaling to 100+; commercial rides on Uber planned late 2026; VW ADMT rebranded to MOIA America",https://techcrunch.com/2026/04/08/volkswagen-moia-uber-los-angeles-testing-self-driving-microbuses-id-buzz/,,testing
2026-04-13,Nuro,San Francisco,Uber and Nuro begin testing premium robotaxi service in San Francisco,"Employee test rides using Lucid Gravity SUVs with Nuro L4 system; public launch planned late 2026",https://techcrunch.com/2026/04/13/uber-nuro-san-francisco-testing-premium-robotaxi-service/,,testing
2026-04-14,Waymo,London,Waymo begins autonomous driving testing in London with 100 vehicle fleet,"Autonomous testing with safety specialists; ~100 Jaguar I-PACE vehicles; 100 sq mi area; Moove fleet partner; commercial launch late 2026",https://techcrunch.com/2026/04/14/london-gets-closer-to-its-first-robotaxi-service-as-waymo-begins-testing/,,testing
2026-04-15,Didi,,Didi announces UAE as first overseas robotaxi market,"Testing planned for later in 2026; UAE becomes three-way battleground with WeRide and Apollo Go",https://www.cnbc.com/2026/04/15/china-robotaxi-didi-weride-baidu-dubai-uae-expansion.html,,expansion
2026-04-15,Waymo,,Waymo opens Miami and Orlando to public with no waitlist and adds highway service,"150K+ riders served since January; Miami highway service on I-95 and Dolphin Expressway; ~100 sq mi Miami coverage",https://waymo.com/blog/2026/04/floridas-new-way-to-ride/,,expansion
2026-04-15,Wayve,,Wayve raises $60M extension from Qualcomm AMD and Arm,"Series D extension brings total to ~$1.5B at $8.6B valuation; London robotaxi via Uber planned for 2026",https://techcrunch.com/2026/04/15/chipmakers-amd-arm-and-qualcomm-are-all-investing-in-this-buzzy-self-driving-tech-startup/,,funding
2026-04-14,Lucid,,Uber and Lucid expand robotaxi partnership to 35000 vehicles with $750M investment,"Uber adds $200M bringing total to $500M; Saudi PIF affiliate Ayar invests $550M; commercial launch in SF Bay Area late 2026",https://ir.lucidmotors.com/news-releases/news-release-details/lucid-group-inc-announces-registered-public-offering-common,,partnership
2026-04-14,Glydways,,Glydways raises $170M Series C for autonomous transit pilots in UAE New York and Atlanta,"Co-led by Suzuki ACS Group and Khosla Ventures; total raised over $250M; Atlanta pilot launches December 2026 with free on-demand service",https://www.globenewswire.com/news-release/2026/04/14/3273722/0/en/Glydways-Raises-Oversubscribed-170M-Series-C-as-First-Autonomous-Vehicle-Networks-Enter-Public-Operation-in-2026.html,,funding
2026-04-15,,,Autonomous vehicle funding tripled in Q1 2026 to record $21.4B across 34 deals,"262% jump from all of 2025; Waymo $16B Series D at $126B valuation; Shield AI $2B Series G; Wayve $1.3B Series D at $8.6B valuation",https://news.crunchbase.com/venture/record-funding-autonomous-vehicles-q1-2026/,,funding
2026-04-17,Vy;Kolumbus,Stavanger,Norway grants first permit for fully driverless autonomous bus operations,"Karsan e-ATAK with ADASTEC software and Applied Autonomy xFlow fleet management; transition from supervised to driverless without safety driver",https://www.sustainable-bus.com/autonomous-driving/stavanger-autonomous-bus-without-safety-driver-approved/,,regulation
2026-04-18,Tesla,Dallas,Tesla launches fully unsupervised robotaxi service in Dallas and Houston,"First Tesla robotaxi launches without safety monitor phase; Dallas ~30-35 sq mi; Houston ~12-15 sq mi; early ride $6.15 for 2.25 miles ~56% cheaper than Waymo",https://techcrunch.com/2026/04/18/tesla-brings-its-robotaxi-service-to-dallas-and-houston/,,launch
2026-04-18,Tesla,,Tesla targets 7 robotaxi cities by June 2026 after Texas expansion,"Austin Dallas Houston now live; Phoenix Miami Orlando Tampa Las Vegas next; Cybercab mass production expected late April",https://tech-insider.org/tesla-robotaxi-dallas-houston-unsupervised-launch-2026/,,expansion
2026-04-20,,,Counterpoint Research forecasts robotaxi market to reach $168B by 2035,"Global fleet to hit 3.6M vehicles by 2035; China leads deployment volume US leads innovation; Waymo Apollo Go Tesla WeRide Pony.ai named top 5",https://www.electronicsweekly.com/news/business/robotaxi-services-2026-04/,,milestone
2026-04-21,Geely,,Geely announces China's first purpose-built native robotaxi prototype Eva Cab,"Built on Geely L4 AI architecture with World Action Model; CaoCao to commercialize; mass production 2027; first directly Geely-developed robotaxi vs converted production models",https://www.globenewswire.com/news-release/2026/04/21/3278272/0/en/China-s-First-Purpose-built-Autonomous-Robotaxi-Prototype-Coming-Soon-CaoCao-s-Deeply-Customized-Version-Scheduled-for-Mass-Production-in-2027.html,,launch
2026-04-22,Tesla,,Tesla Q1 2026 earnings - paid Robotaxi miles nearly doubled QoQ but 5-city expansion delayed,"Q1 paid Robotaxi miles nearly doubled sequentially; Austin geofence expanded; Dallas/Houston launched in April; FSD approved Netherlands; Phoenix, Miami, Orlando, Tampa, Las Vegas pushed from 1H 2026 to preparations underway",https://assets-ir.tesla.com/tesla-contents/IR/TSLA-Q1-2026-Update.pdf,,earnings
2026-04-22,Tesla,,Tesla Robotaxi launch pushed back in 5 US cities per Q1 earnings update,"Phoenix Miami Orlando Tampa Las Vegas now listed as preparations underway instead of 1H 2026; Musk claims dozen states by year-end but track record of missed promises raises skepticism",https://electrek.co/2026/04/22/tesla-seems-to-say-robotaxi-launch-will-be-pushed-back-in-5-us-cities/,,delay
2026-04-23,WeRide,,WeRide and Lenovo target 200000 autonomous vehicle global rollout over 5 years,"Announced at Auto China 2026; HPC 3.0 platform with NVIDIA DRIVE AGX Thor delivers 2000+ TOPS; 50% lower autonomous suite costs and 84% lower TCO vs previous generation",https://gulfbusiness.com/en/2026/automotive/weride-lenovo-target-200000-autonomous-vehicle-rollout-in-global-push-for-robotaxi-scale/,,partnership
2026-04-24,Geely,,Geely Eva Cab debuts at Auto China 2026 - China's first purpose-built robotaxi,"Built on Geely L4 AI architecture; worlds first 2160-line digital LiDAR with 25.92M points/sec and 600m range; CaoCao customized version 2027 mass production; targets 100K robotaxis by 2030",https://www.globenewswire.com/news-release/2026/04/24/3280986/0/en/China-s-First-Purpose-Built-Robotaxi-Customized-for-CaoCao-Debuts-at-Auto-China-2026-with-Mass-Production-Planned-for-2027.html,,launch
2026-04-24,MOIA America,Orlando,MOIA America and Beep partner to deploy 5000 autonomous ID. Buzz vehicles in US,"10-year deal targeting cities municipalities and transit agencies; validation testing in Lake Nona FL; Mobileye self-driving system; passenger rides later 2026",https://www.prnewswire.com/news-releases/moia-america-to-expand-into-new-us-markets-through-strategic-partnership-with-beep-starting-in-orlando-302752223.html,,partnership
2026-04-24,Pony.ai,,Pony.ai unveils next-gen NVIDIA DRIVE Hyperion compute platform with 4000 TOPS,"New domain controller with NVIDIA NVLink for multi-chip configurations; targets 20 cities and 3000 vehicles by year-end 2026; 500% Fangzai shipment increase",https://www.autoconnectedcar.com/2026/04/autonomous-self-driving-vehicle-news-tesla-pony-ai-nvidia-moia-beep-innoviz-sima-ai-hesai-karsan-weride-plusai-arbe-zoox/,,launch
2026-04-24,QCraft,,QCraft unveils Physical AI Model and 500+ TOPS QPilot MAX at Auto China 2026,"World Model + Reinforcement Learning architecture; deployed in 25 production models with 50 more expected in 2026; vehicles undergoing road testing in Munich and Paris",https://www.businesswire.com/news/home/20260424909985/en/QCraft-Unveils-Physical-AI-Model-and-500-TOPS-Intelligent-Driving-Solution-at-Auto-China-2026-in-Beijing,,launch
2026-04-24,Tesla,,Tesla Robotaxi app launches for Android users on Google Play,"Service previously iOS-only; expansion to hundreds of millions of Android users; supports scaling ride volume and FSD data collection",https://www.teslarati.com/tesla-expands-robotaxi-long-anticipated-android/,,expansion
2026-04-30,Hertz,San Francisco,Hertz launches Oro Mobility to manage Uber autonomous robotaxi fleet of Lucid vehicles,"New Hertz affiliate provides charging maintenance repairs cleaning and depot staffing; Bay Area launch later 2026; explore expansion 2027; Lucid robotaxi fleet with Nuro AV tech",https://newsroom.hertz.com/press-releases/press-release-details/hertz-and-uber-partner-to-power-autonomous-robotaxi-and-driver-led-fleet-operations/,,partnership
2026-04-30,Aurora,,Aurora and Hirschbach sign MOU for 500 Aurora Driver-powered trucks,"Non-binding MOU outlining path to 500 trucks delivered starting 2027; Driver-as-a-Service model; revenue stream in hundreds of millions of dollars; 500 million driverless miles",https://www.businesswire.com/news/home/20260430066071/en/Leading-Carrier-Selects-Aurora-to-Scale-Autonomous-Fleet-to-500-Trucks,,partnership
2026-04-30,Tesla,,Tesla unsupervised Robotaxi fleet grows to 25 total vehicles across 3 Texas cities,"Austin 19 Dallas 3 Houston 3; First real fleet growth signs after months of stagnation; far below Musk predictions; Waymo operates 3000 vehicles across 10 cities for context",https://electrek.co/2026/04/30/tesla-robotaxi-unsupervised-finally-signs-ramping-up/,,milestone
2026-04-30,Uber,San Francisco,Uber commits 200M more to Lucid bringing total to 500M and minimum 35000 robotaxi fleet,"Original 20K Gravity SUV commitment expanded to 10K Gravity + 25K mid-size platform vehicles; Uber 11.5% ownership stake; Nuro AV tech across all fleet",https://techcrunch.com/2026/04/30/uber-taps-hertz-to-clean-charge-and-fix-its-lucid-motors-robotaxis/,,partnership
2026-05-04,Aurora,Oklahoma City,Aurora and Volvo Autonomous Solutions launch 200-mile Dallas-Oklahoma City autonomous freight route,"5 days/week supervised autonomy; final validation phase for driverless; Volvo VNL Autonomous with Aurora Driver; direct customer facility hauls reduce drayage",https://ir.aurora.tech/news-events/press-releases/detail/137/volvo-and-aurora-launch-autonomous-truck-route-to-oklahoma-city,,launch
2026-05-04,Lyft,,Lyft VP publishes Under the Hood article positioning company as AV operations backbone for industry,"Highlights 15K Flexdrive vehicles, 550M miles/year, 3M AV training miles, 157K hours data, 50M annual riders, 95% road coverage via FleetView, 2.5M OSM edits in 2025, 44K+ vehicles managed",https://www.lyft.com/blog/posts/lyft-mobility-expertise-powers-av-partners,,positioning
2026-05-05,Nuro,San Francisco,Nuro receives CPUC Drivered Pilot Permit ahead of Uber Lucid robotaxi service launch,"CA DMV modified driverless AV permit to include Lucid Gravity vehicles; one of only 5 companies with both DMV Driverless Testing and CPUC Drivered Pilot permits",https://techcrunch.com/2026/05/05/nuro-receives-driverless-testing-permit-ahead-of-uber-robotaxi-service-launch/,,milestone
2026-05-06,Aurora,Dallas,Aurora McLane fully driverless Dallas-Houston freight service launches for Berkshire Hathaway subsidiary,"280K autonomous miles and 1400 deliveries in pilot; targeting 200+ driverless trucks by year-end across Sun Belt; human observer remains in cab per Paccar agreement",https://www.cnbc.com/2026/05/06/berkshire-hathaway-mclane-autonomous-freight-trucking-aurora.html,,launch
2026-05-07,Kodiak AI,Dallas,Kodiak AI starts autonomous freight hauling with Roehl Transport between Dallas and Houston,"4 round trips/week launched in April 2026; 23500 hours of paid driverless ops in Q1; targeting long-haul driverless operations by end of 2026; Kodiak operates in 5 Texas/OK cities",https://www.globenewswire.com/news-release/2026/05/07/3290645/0/en/Kodiak-Begins-Hauling-Freight-Autonomously-With-Roehl-Transport.html,,launch
2026-05-13,Waymo,Miami,Waymo expands total coverage to 1400+ sq mi across 11 cities for FIFA World Cup readiness,"Miami expansion first then Austin Atlanta Houston SF Bay Area in coming weeks; 200M+ autonomous miles; targeting 1M paid rides/week by year-end; 3000 robotaxis in operation",https://waymo.com/blog/shorts/growing-to-1400-sqm/,,expansion
2026-05-13,Waymo,Houston,Waymo Houston service area expanding to EaDo Texas Medical Center and Northeast Houston,"Tens of thousands of riders on service in Houston; expansion to NRG Stadium area for FIFA World Cup; current 25 sq mi growing significantly",https://www.axios.com/local/houston/2026/05/13/waymo-houston-expansion-world-cup-nrg-stadium,,expansion
2026-05-13,Waymo,,Waymo expands coverage more than 20 percent crossing Rhode Island sized footprint,"Up from 1100 to 1400+ sq mi across 11 cities; expanding in existing cities rather than rushing new ones; unit economics working; Waymo on track for 1M rides/week",https://electrek.co/2026/05/13/waymo-expands-coverage-1400-square-miles-11-cities/,,expansion
